Technology,Coal,Gas,Power,Heat,H2,Capacity,TotalCost
SolarPV,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WindOnshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WindOffshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydro,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CoalMine,90000.0,0.0,0.0,0.0,0.0,90000.0,0.0
GasExtractor,0.0,1.71e6,0.0,0.0,0.0,1.71e6,0.0
CoalPowerPlant,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
GasPowerPlant,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
CoalCHPPlant,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
GasCHPPlant,0.0,0.0,610000.0,1.1e6,0.0,2.5e6,2.4428933e6
CoalGazification,0.0,0.0,0.0,0.0,90000.0,128571.42857142858,2.7027
SteamMethaneReforming,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electrolysis,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
FuelCell,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
,,,,,,,
Demand,0,0,610000.0,1.1e6,90000.0,,
