Technology,Power_TWh,Heat_TWh,H2_TWh,Capacity_GW,TotalCost_MiEUR,Emissions_tCO2e
SolarPV,141.4,0.0,0.0,100.0,39000.0,1.0033744e8
WindOnshore,186.588,0.0,0.0,71.0,71000.0,0.0
WindOffshore,70.08,0.0,0.0,20.0,51600.0,420480.0
Hydro,13.183799999999998,0.0,0.0,4.3,9460.0,382330.19999999995
CoalMine,0.0,0.0,0.0,57.14285714285715,0.0,1.8192000000000003e8
GasExtractor,0.0,0.0,0.0,213.71428571428572,0.0,2.618e8
CoalPowerPlant,140.0,0.0,0.0,59.19161170302722,112906.57872484357,5.46e6
GasPowerPlant,0.0,0.0,0.0,37.0,22459.0,0.0
CoalCHPPlant,0.0,60.0,0.0,25.944375259443753,60467.08177667081,3.96e6
GasCHPPlant,70.0,588.0,0.0,254.2548775425488,399747.01535907015,1.1186e7
Power2Heat,0.0,11.2518,0.0,5.922,0.0,2.0433268800000001e6
CoalGazification,0.0,0.0,0.0,0.0,0.0,0.0
SteamMethaneReforming,0.0,0.0,90.0,32.14285714285714,5405.400000000001,1.35e6
Electrolysis,0.0,0.0,0.0,0.0,-0.0,0.0
