Technology,Coal_TWh,Gas_TWh,Power_TWh,Heat_TWh,H2_TWh,Capacity_GW,TotalCost_MiEUR
SolarPV,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WindOnshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WindOffshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydro,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CoalMine,90.0,0.0,0.0,0.0,0.0,25.714285714285715,0.0
GasExtractor,0.0,1710.0,0.0,0.0,0.0,488.57142857142856,0.0
CoalPowerPlant,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
GasPowerPlant,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
CoalCHPPlant,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
GasCHPPlant,0.0,0.0,610.0,1100.0,0.0,475.6468797564689,858007.00152207
CoalGazification,0.0,0.0,0.0,0.0,90.0,32.14285714285714,2702.7
SteamMethaneReforming,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electrolysis,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
FuelCell,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
,,,,,,,
Demand_TWh,0,0,610.0,1100,90.0,,
